Accountability2012,PACT,PRCT,"Party for Accountability,  Competency and Transparency","Parti pour la Responsabilisation,  la Compétence et la Transparence","Party for Accountability,  Competency and Transparency","Parti pour la Responsabilisation,  la Compétence et la Transparence",2012,2016,,
AnimalPP2005,Animal,Animal,Animal Protection Party,Parti Protection Animaux,Animal Protection Party,Parti Protection Animaux,2005,,www.AnimalProtectionParty.ca,www.AnimalProtectionParty.ca
ANorth2015,ATN,ADN,Alliance of the North,Alliance du Nord,Alliance of the North,Alliance du Nord,2015,2019,,
Bloc,Bloc,Bloc,Bloc Québécois,Bloc Québécois,Bloc Québécois,Bloc Québécois,1993,,www.blocquebecois.org,www.blocquebecois.org
Bridge2015,Bridge,Bridge,The Bridge,Le Lien,The Bridge Party of Canada,Parti pour nouer des liens entre Canadiens,2015,2017,,
CAction1997,CAP,PAC,Canadian Action Party,Parti action canadienne,Canadian Action Party,Parti action canadienne,1997,2017,,
Canada2015,Canada,Canada,Canada Party,Parti Canada,Canada Party,Parti Canada,2015,2016,,
Centrist2021,Centrist,Centriste,Centrist Party,Parti Centriste,Centrist Party of Canada,Parti Centriste du Canada,2021,,www.centristcanada.ca,www.centristcanada.ca
CFuture,Future,Future,Canadian Future Party,Parti Avenir,Canadian Future Party,Parti Avenir Canadien,2024,,www.thecanadianfutureparty.ca,www.partiavenircanadien.ca
FourthFront2025,Fourth Front,Quatrième front,Canada's Fourth Front,Quatrième front du Canada,Canada's Fourth Front,Quatrième front du Canada,,2025,,
ChristianHP2004,Christian Heritage,l'Héritage Chrétien,Christian Heritage Party,Parti de l'Héritage Chrétien,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,2004,,www.chp.ca,www.chp.ca
CNationalist2019,Nationalist,Nationaliste,Nationalist,Nationaliste,Canadian Nationalist Party,Parti Nationaliste Canadien,2019,2022,,
Communist2000,Communist,Communiste,Communist Party,Parti communiste,Communist Party of Canada,Parti communiste du Canada,2000,,www.communist-party.ca,www.communist-party.ca
Conservative,Conservative,Conservateur,Conservative Party,Conservateur Party,Conservative Party of Canada,Parti conservateur du Canada,2003,,www.conservateur.ca,www.conservative.ca
DirectDemocracy2019,Democracy,Démocratie,Direct Democracy,Démocratie directe,Direct Democracy Party of Canada,Parti Démocratie directe du Canada,2019,2023,,
FirstPeoplesNPC2005,FPNP,FPNP,First Peoples,First Peoples,First Peoples National Party of Canada,First Peoples National Party of Canada,2005,2013,,
ForcesDemocratie2015,Forces,Forces,Forces et Démocratie,Forces et Démocratie,Forces et Démocratie,Forces et Démocratie,2015,2016,,
Free2020,Free,Libre,Free Party Canada,Parti Libre Canada,Free Party Canada,Parti Libre Canada,2020,2024,,
Green,Green,Vert,Green Party,Parti Vert,Green Party of Canada,Le Parti Vert du Canada,1984,,www.greenparty.ca,www.greenparty.ca
ID,short_en,short_fr,common_en,common_fr,long_en,long_fr,registered,deregistered,website_en,website_fr
IndependanceQuebec2019,Indépendance,Indépendance,Pour l'Indépendance du Québec,Pour l'Indépendance du Québec,Parti pour l'Indépendance du Québec,Parti pour l'Indépendance du Québec,2019,2022,,
Liberal,Liberal,Libéral,Liberal Party,Parti libéral,Liberal Party of Canada,Parti libéral du Canada,1972,,www.liberal.ca,www.liberal.ca/fr
Libertarian2004,Libertarian,Libertarien,Libertarian Party,Parti Libertarien,Libertarian Party of Canada,Parti Libertarien du Canada,2004,,www.libertarian.ca,www.libertarian.ca
Marijuana2000,Marijuana,Marijuana,Marijuana Party,Parti Marijuana,Marijuana Party,Parti Marijuana,2000,,www.marijuanaparty.ca,www.marijuanaparty.ca/index.fr.php3
MarxistLeninist1993,Marxist-Leninist,Marxiste-Léniniste,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,1993,,www.cpcml.ca,www.pccml.ca
Maverick2021,Maverick,Maverick,Maverick Party,Maverick Party,Maverick Party,Maverick Party,2021,2025,,
NAdvancement2015,NA,ES,National Advancement,Essor National,National Advancement Party of Canada,Parti de l'Essor National du Canada,2015,2017,,
NaturalLaw1993,NLP,NLP,Natural Law Party,Parti de la loi naturelle,Natural Law Party of Canada,Parti de la loi naturelle du Canada,1993,2004,,
NCitizensA2019,Citizens,Citizens,National Citizens Alliance,Alliance Nationale Citoyens,National Citizens Alliance of Canada,Alliance Nationale des Citoyens du Canada,2019,2023,,
NDP,NDP,NDP,NDP,NDP,New Democratic Party,Nouveau Parti démocratique,1971,,www.ndp.ca,www.ndp.ca
NLFirst2008,NL First Party,NL First Party,Newfoundland and Labrador First,Newfoundland and Labrador First,Newfoundland and Labrador First Party,Newfoundland and Labrador First Party,2008,2011,,
Patriote2021,Patriote,Patriote,Parti Patriote,Parti Patriote,Parti Patriote,Parti Patriote,2021,2022,,
PeoplesP2019,People's,Populaire,People's Party,Parti populaire,People's Party of Canada,Parti populaire du Canada,2019,,www.peoplespartyofcanada.ca,www.partipopulaireducanada.ca
Pirate2010,Pirate,Pirate,Pirate Party,Parti Pirate,Pirate Party of Canada,Parti Pirate du Canada,2010,2017,,
PoliticalPower2008,PPP,PPP,People's Political Power Party of Canada,Pouvoir Politique du Peuple du Canada,People's Political Power Party of Canada,Pouvoir Politique du Peuple du Canada,2008,2011,,
ProgressiveCanadian2004,PC Party,PC Party,PC Party,Parti PC,Progressive Canadian Party,Parti Progressiste Canadien,2004,2019,,
Rhinoceros2007,Rhinoceros,Rhinocéros,Parti Rhinocéros Party,Parti Rhinocéros Party,Parti Rhinocéros Party,Parti Rhinocéros Party,2007,,www.partyrhino.ca,www.PartiRhino.ca
Seniors2015,Seniors,Aînés,Seniors Party,Parti des aînés,Seniors Party of Canada,Parti des aînés du Canada,2015,2016,,
StopClimateC2019,Stop,Stop,Stop Climate Change,Arrêtons le changement climatique,Stop Climate Change,Arrêtons le changement climatique,2019,2021,,
United2010,United,United,United Party,Parti Uni,United Party of Canada,Parti Uni du Canada,2010,2016,,
United2019,UPC,UPC,United Party,Parti Uni,The United Party of Canada,Parti Uni du Canada,2019,2020,,
UnitedPC2024,UP,UP,United Party,Parti Uni,United Party of Canada,Parti Uni du Canada,2024,,unitedpartyofcanada.ca,unitedpartyofcanada.ca
VeteransC2019,VCP,CAC,Veterans Coalition,La coalition des anciens combattants,Veterans Coalition Party of Canada,Parti de la coalition des anciens combattants du Canada,2019,2023,,
WesternBlock2005,WBP,WBP,Western Block Party,Western Block Party,Western Block Party,Western Block Party,2005,2014,,
WorkLess2008,Work Less,Work Less,Work Less Party,Work Less Party,Work Less Party,Work Less Party,2008,2010,,
